	rab.all	rab.win.C	rab.win.Y	diff.btw	diff.win	effect	overlap	we.ep	we.eBH	wi.ep	wi.eBH
Sg_CE19A_29	-0.890861120308529	-0.0206064241409045	-2.75121168481343	-2.65643573008873	3.77495629131472	-0.666339561962515	0.230288463370234	0.00000000876143675000016	0.000000027149258143943	0.00000000206516262389343	0.00000000975082503095415
Sg_CE19A_36	1.95496085986053	1.83215000075753	2.12213132160529	0.131812846539725	1.47493690465498	0.0895955183663552	0.46647440535315	0.387920388492297	0.418961542967972	0.362332920229698	0.392500975206752
Sg_CG50A_49	-1.80672809642028	-1.57150222392142	-2.20966905519095	-0.494081406252382	4.89964428736599	-0.0910991221821982	0.463109829546468	0.342513074371532	0.37383891660582	0.363064821523555	0.392789840181568
Sg_CG50A_74	0.446691757182327	1.21187279908925	-1.18090976372173	-2.27126696499116	4.48477246032721	-0.479744938947271	0.299038462692616	0.0000226296134987907	0.0000485324740341147	0.0000119599507232309	0.0000267109296438401
Sg_CK05A_18	2.60747203383692	3.39893251149181	0.656197509910263	-2.59061883013841	3.45471260672981	-0.688361689052516	0.235096155619559	0.0000000112815495051451	0.0000000354979396637358	0.00000000822179469816262	0.0000000331185648517222
Sg_CK05A_46	0.0549181215881021	0.882791921844418	-0.698036606365906	-1.69049831548154	2.5105691381439	-0.610228643542566	0.225961540347733	0.00000000000177818353267023	0.0000000000130409091316479	0.00000000310078417167734	0.0000000139565909918988
Sg_CK05A_56	-0.029666534075095	-0.458796265139913	0.612962336950177	1.0615319656921	2.20484349755554	0.451432681461127	0.305695747316408	0.0000107591878026238	0.0000247914323013205	0.0000141359738537173	0.0000309085880390822
Sg_CK28A_36	-2.13034076222682	-1.83412952629778	-2.64235933134847	-0.731813301985202	4.15287482100346	-0.160533980333867	0.415384615804085	0.0216923818718815	0.0288100989468875	0.0593929182195517	0.0729048505229985
Sg_CK52A_43	-1.85044461030237	0.404068369064527	-3.15664600874695	-2.98110663298453	4.11988088834302	-0.648167493640916	0.247055997790945	0.00000000008512933809703	0.000000000419845197846906	0.0000000531479169201618	0.000000175552213883251
Sg_CK52A_74	-0.362071954786517	0.852600550097599	-2.20632945749002	-2.41820446385178	4.35707540706422	-0.543091245878393	0.265865386059494	0.000000110527630700619	0.000000307702989126907	0.000000253271343994113	0.000000736317642989894
Sg_CM17_16	-3.41308000133	-3.79864334150202	-2.7693407287199	-0.053558098218744	5.61676288199243	-0.00840941367432499	0.497115384629276	0.758754067636354	0.773159441162139	0.918743001381671	0.924495409774179
Sg_CM17_58	-2.72468498614269	1.69310675151568	-3.5934429460697	-4.77025041180258	5.59179573113746	-0.732070833788132	0.255707764101569	0.00000000000000777972184363862	0.0000000000000954317088985203	0.000000124942486822484	0.000000380188821592652
Sg_CM17_7	0.494291511376225	1.95970831092223	-0.762679685306775	-2.78033266709735	3.09815039466002	-0.784890679221148	0.214423078964039	0.00000000000000321298150806362	0.0000000000000473404303334564	0.000000000250472690631528	0.00000000152598300514264
Sg_CM21_57	0.891802605072887	1.20399056973781	-0.132524975825531	-1.32984198248092	4.1778479293172	-0.294676549693896	0.366017784881248	0.010187725395522	0.014052314486883	0.00236504722666995	0.00352633087271632
Sg_CM29A_16	-1.12868530476652	-0.327358361726154	-2.12647399350644	-1.96325026452443	3.61355481189002	-0.499426223431729	0.281490385915993	0.0000000775415831918168	0.000000220792090888872	0.0000032545368385782	0.00000831400411858935
Sg_CM31A_43	-0.275317018669424	-1.88862230329107	1.19503368012178	3.21269204334374	4.86884726915824	0.615466514700428	0.240807499903489	0.000000000159499225163578	0.000000000735699185178114	0.0000000114804153149682	0.0000000442147368190681
