	rab.all	rab.win.C	rab.win.E	diff.btw	diff.win	effect	overlap	we.ep	we.eBH	wi.ep	wi.eBH
Sg_CM17_7	1.02873179643807	1.96683209648202	0.106102121363962	-1.63007174995995	3.90231808728397	-0.412341518348812	0.332393144589728	0.0000234500583284454	0.00016152351979399	0.000157697986373075	0.000866232154046852
Sg_CM21_57	1.12585510371501	1.20127171916615	1.02650383112179	-0.549225185740124	3.75665904216948	-0.134125378953541	0.439019097465161	0.137962816427283	0.200347489059274	0.164546016317579	0.231855158628291
Sg_CM29A_16	-0.773804112621638	-0.334613553862626	-1.4063576436459	-0.73069542955626	4.05882492215202	-0.173838443170457	0.42243436785355	0.0338655857511054	0.0591158641038916	0.0692976825485692	0.115066564297203
Sg_CM31A_43	-1.38554176826023	-1.91046692925577	-0.688221333148642	1.39332346507734	5.23973008446458	0.245739932848282	0.390842014338729	0.00246492532982171	0.00676333706391844	0.0140200056629485	0.0304906147653168
Sg_CM31A_52	0.463072575888181	0.788385884246671	0.0250275520856604	-0.896760281335034	3.48748379102846	-0.233973040001349	0.389973958787113	0.0135819271420583	0.0280702893429446	0.019300598893349	0.0389488521312892
Sg_CM32A_26	1.75127751049546	2.36700778474829	1.07076900701826	-1.11352330130293	2.42953261611571	-0.423421454777515	0.297309028729687	0.00000444395756719292	0.0000439463018007569	0.00000764364615534776	0.0000974771200409585
Sg_CM32A_49	1.54764145274374	1.54037412037083	1.56766911177432	0.396487333610853	2.16251923676265	0.171705390638261	0.426215278073798	0.0291335369620738	0.0523530816385616	0.0906227031631068	0.14437172150099
Sg_CM33A_60	-0.642111269866406	0.0689839948758202	-1.31101921387986	-1.3686653203733	3.88874341723468	-0.325452650971662	0.347222222883557	0.000125259017351183	0.000584510431452994	0.000720001146096018	0.00286709256285622
Sg_CM35A_15	-0.183890913063799	0.172958471139824	-0.912632878138887	-1.03689944935282	3.66486638719015	-0.261612591723983	0.376654372396327	0.00460160840184348	0.0113019217016886	0.00644502428670197	0.0164010820222824
Sg_D02_32	-0.761860505074363	-1.04687531624047	-0.252318745642818	1.00482067801684	2.90560018823936	0.329764645946559	0.352430556189966	0.000218286903989956	0.000906702994762725	0.000826763454506563	0.00319829307502752
Sg_D02_9	0.736324417410926	-0.0303500927904583	1.44965389586682	1.9928254051961	4.14966276952603	0.449082055309985	0.310045563899717	0.00000179827786647489	0.0000218311037689206	0.0000104329283611099	0.00011951563989443
Sg_D03_78	1.49610023192804	1.64626258805476	1.24839459172738	-0.398956981764166	2.36486165560855	-0.162953664348854	0.422868301459878	0.0246799679011561	0.0458027753712795	0.0796108315364261	0.129401626457933
Sg_D09_14	1.65913783885622	2.1991112387399	1.19514521493894	-0.710069155937153	2.87633099425325	-0.226679131545746	0.405293990404873	0.00648487130165978	0.0150866851701299	0.0237440590948581	0.0456098741717762
Sg_D10_17	1.46429709197206	1.72658514034914	1.18545443551631	-0.397591033339674	3.18435799975788	-0.117261637101158	0.448904317841959	0.360978912283685	0.448204077682315	0.204204690057417	0.275773801239505
Sg_D18_45	-0.817006640702819	-1.77422933914812	2.22478642625906	3.02811320899905	5.4762731463263	0.522981991925702	0.282769098273129	0.000000236645889163219	0.00000889770396962716	0.0000010580621435317	0.0000284467048645228
Sg_E04_12	-1.22129839469173	-1.93941004906457	-0.215899897902116	1.60520222963762	3.82637110291741	0.392866232550012	0.315321181394844	0.0000261077407281001	0.000171504026749006	0.0000293084195095036	0.000233659560666572
Sg_E06_10	-0.175391462324856	0.298095476759025	-0.753462193389576	-1.3063828738248	3.39625654044567	-0.349343150891645	0.333261011801247	0.000227559481766152	0.000939008027505705	0.000203562902728174	0.00105815139500157
Sg_E06_24	-0.118757035905945	0.14042280451169	-0.522765876171239	-0.548733748095854	2.64910861456425	-0.198651882290589	0.417227164577728	0.0536299684258211	0.0874204602216884	0.0441606003906087	0.0779704675365306
Sg_E10_50	3.12027253356387	2.83254328001857	3.93398229919513	0.861018941874916	1.98424863670925	0.424661256817401	0.324869792450093	0.0000213618553841348	0.000154056777532645	0.0000913327332613521	0.000555928148388771
Sg_EA47_17	3.85810926130986	4.670767769557	3.32516206242901	-0.763256797905103	5.34941709040459	-0.143160692156979	0.435452376044009	0.124918685872213	0.184324323616715	0.131379443894223	0.193764617489207
Sg_EA47_9	-0.866551693643277	-1.11694535046024	-0.559229766753258	0.724984376744418	2.38951314438951	0.274496092566578	0.367541766668623	0.00175319931574062	0.00517772762135201	0.00255972974653557	0.00761347612551315
Sg_EA57_9	-2.41722334064579	-3.27709848613921	-1.3466850728771	2.04329184959516	4.55334025046557	0.400575960668441	0.310112848093049	0.00000154243108503877	0.0000200256391588251	0.0000213011929937974	0.000187198647039374
