	rab.all	rab.win.C	rab.win.L	diff.btw	diff.win	effect	overlap	we.ep	we.eBH	wi.ep	wi.eBH
Sg_CM32A_26	1.79559520719621	2.36733136973657	1.27859102821971	-1.16544385604155	2.31133440124421	-0.46301953822245	0.2903969284063	0.000000485237163479431	0.00000972912092557731	0.00000745136502307329	0.000130225838027667
Sg_CM32A_49	1.5310943649322	1.54131279315459	1.49304545670071	0.240770870015177	2.12481328675415	0.103710880067916	0.457991803510007	0.376460992102248	0.497837224082418	0.311395405046666	0.428317685418904
Sg_CM33A_60	-0.383953315183935	0.0626993922800541	-1.35097252609343	-1.26022343410125	4.06262018992342	-0.284716388484539	0.373719263032582	0.000818873192953735	0.00397947757945416	0.00513113936426962	0.0169746785673129
Sg_CM35A_15	-0.470606023534881	0.172350521502054	-1.65263103174214	-1.89134982127933	3.20017981780815	-0.565609735300769	0.256147542733007	0.00000000374161306017219	0.000000301848215513949	0.000000256345886736978	0.0000180998020511421
Sg_D02_32	-0.909362518128983	-1.04403003542544	-0.614705882044135	0.478103988695564	2.89068685547363	0.160377863390063	0.430217670043214	0.0617544284771279	0.117926609236603	0.11309470430538	0.196302572311053
Sg_D02_9	0.348602105366434	-0.027466881404405	1.01312094764862	1.11621372221609	3.77031823802246	0.280646502331285	0.376793033504084	0.000448878230080636	0.00246615370269298	0.00610070871358803	0.0191642163249934
Sg_D03_78	1.81987021138411	1.64254469943302	2.10517864954077	0.251028460490629	2.73059678685198	0.0819640001483656	0.460040983826443	0.480422718680825	0.607603142147276	0.407206575689769	0.525090857754536
Sg_D09_14	1.83474989563144	2.19750020666673	1.43029994224551	-0.433086370080443	3.16533815812086	-0.126050223829231	0.440460947833252	0.161593311151313	0.260100723396795	0.207013379276646	0.318249159803499
Sg_D10_17	1.69781306937674	1.72322589027466	1.63712265725102	0.125389987075652	3.35291372047657	0.0346783472306377	0.483226632614174	0.354742441318237	0.476297122934065	0.623208650199022	0.714198271726214
Sg_D18_45	-1.00892848718692	-1.78383703160974	0.644423485109359	2.05649739546253	4.73966606742769	0.403883581325877	0.326760564456162	0.0000577897001917917	0.000439192344388837	0.000203561183246622	0.00139101135207215
Sg_E04_12	-1.62777545028953	-1.93462387593696	-1.06040114312716	0.805108816550614	3.90686233836696	0.182887322694057	0.412141393938306	0.0270905982142061	0.0625589755081994	0.0495897730241312	0.0996552223320495
Sg_E06_10	-0.27631607733331	0.299702155384417	-1.23390945944219	-1.64542379814104	3.4346585390276	-0.452203448923294	0.292264345635082	0.0000385047709638638	0.000313070435702351	0.00000650945369032474	0.000119017870952916
Sg_E06_24	0.162837767460205	0.138643140668524	0.260008276668498	0.0622757678036745	2.61851869854358	0.0234407614890682	0.491034836114608	0.909607097589285	0.927638472215642	0.941619350861823	0.961314092537262
Sg_E10_50	2.97608105699945	2.83429141486295	3.39085729599835	0.569209619888431	1.97280352608339	0.275334606535714	0.380793854723992	0.00986279554291995	0.0275271993297742	0.00798819589574162	0.0233238200010752
Sg_EA47_17	4.35809750295317	4.66255049862583	4.2789717672523	-0.291854276392745	5.8152524376529	-0.0489149727186925	0.477592829828204	0.554606281149688	0.674862012648885	0.594778026793998	0.691684785752763
Sg_EA47_9	-0.9684680177157	-1.12429831786527	-0.821184974976399	0.260882878546957	2.34816990006145	0.103761938324265	0.45736235618862	0.520665803370662	0.641045428550839	0.303271158845732	0.419899918147201
Sg_EA57_9	-2.77095619830966	-3.26961887506042	-1.80434961558465	1.28904700960325	4.77696815393906	0.24212012694405	0.386526639998383	0.0237250350146638	0.0531030828825058	0.0168678432592807	0.0412018635292037
Sg_EA61_27	-0.649519008791665	-0.546773569834992	-0.869836077122656	-0.23903801134273	2.81359217197133	-0.0778482022249123	0.465044814532552	0.5342588711785	0.655661260675733	0.484263769429944	0.59524418327583
Sg_EB08_12	-4.68224832820248	-5.17568960205995	-4.01044478854717	0.97537095814655	5.54105122667457	0.155926638259074	0.425352113093294	0.0742837847993151	0.132328412718642	0.0750723541777003	0.139749950793099
Sg_EB09_7	2.383491244915	2.3975710703047	2.33002857328017	-0.181099066580659	5.06990227633274	-0.0344265053882275	0.489628681234678	0.5803140236258	0.695104996129964	0.745583575983021	0.812456385486719
