	rab.all	rab.win.E	rab.win.Y	diff.btw	diff.win	effect	overlap	we.ep	we.eBH	wi.ep	wi.eBH
Sg_CK52A_74	-1.22676774179248	-0.325374718627495	-2.21349675579713	-1.28548150025105	3.85599896648524	-0.301722251707868	0.368269231450881	0.0121347783940842	0.0716123887715159	0.0103848506190501	0.0704259894639487
Sg_CM17_16	-2.63438079542947	-2.5239918550767	-2.76274166946215	-0.587588199554955	5.49200948827769	-0.0952461278896152	0.454567307912906	0.380581967885974	0.877248137635154	0.422563763956903	0.978796922851095
Sg_CM17_58	-3.01666259493033	-2.05161843897526	-3.59164887406732	-1.88525714074539	4.5524550510757	-0.460554969475455	0.260096155346875	0.000000160122314647597	0.0000409913125497848	0.00000321271446913306	0.000822454904098062
Sg_CM17_7	-0.420581526643939	0.10337708635432	-0.751444390204803	-0.899167681477402	2.70256025455045	-0.309405568268305	0.345830330067768	0.000633734582887692	0.0128744629319161	0.00242891910381257	0.0252835198176675
Sg_CM21_57	0.493304255181265	1.03199015276955	-0.121706128723151	-0.841545139053839	4.24268473467302	-0.17644224650406	0.419951923472526	0.218587825491648	0.659956648105082	0.113796891065552	0.387344548027894
Sg_CM29A_16	-1.76308862041415	-1.38983929999091	-2.10943735151105	-1.05056740552206	3.29621279243719	-0.298828320357406	0.356250000754584	0.00281236539370922	0.0256239855154112	0.00376342249212348	0.0328616837008652
Sg_CM31A_43	0.541571672947165	-0.705099211417696	1.19421478162721	1.97086569705436	4.34394012962824	0.415880687796842	0.321557318936631	0.000568890957668532	0.00581738661053446	0.00034717656224359	0.00423702542802123
Sg_CM31A_52	-0.3096675298717	0.0208388370118735	-0.849332308951527	-0.86418660562305	3.46469428125491	-0.216056346102567	0.398461908704878	0.109435087845971	0.406514714462138	0.0404503946755602	0.177542627616953
Sg_CM32A_26	1.11667368480111	1.08067611095604	1.14667505936862	-0.128012180530315	1.69532438133357	-0.0684110804671075	0.465272771136473	0.155681457704626	0.524830913102834	0.462450513048553	0.997761127317486
Sg_CM32A_49	1.6736947658005	1.56489689055229	1.78771961513591	0.281405759185833	2.14139341566184	0.115839499482376	0.445806296827266	0.405043476510797	1	0.286161388510148	0.824647694193175
Sg_CM33A_60	-1.87300941052233	-1.31053366684163	-2.35177919509518	-0.789239688905442	2.96617701825058	-0.242521279262102	0.389182692868889	0.0228166181407714	0.113264635422895	0.0255581197728609	0.128922469832397
Sg_CM35A_15	-1.15864274874409	-0.91292721504886	-1.36092420683891	-0.712622620408748	2.70000816374389	-0.246454592093846	0.388942308254848	0.0065885773347781	0.0448184533931578	0.0251016252803066	0.127855570693445
